"CountryCode","Population","PDR","PGR","CO2PC","MFPC","GDPG","GNIPC","FGNIPC","MGNIPC","FLFPR","MLFPR","PDGDP","EYS","FEYS","MEYS","FSSE","MSSE","CHEGDP","CHEPCUSD","LE","FLE","MLE","MMR","TBR"
"afg",40374668,61,2.33,0.3123765,1.38,NULL,1824.1909,532.9554,3089.2705,14848,66515,0,2.98507,2.31108,3.40131,6.39573,14.86571,15.534,80.288,61.982,65.279,58.915,638,82.565
"ago",34566172,27,3.25,0.67540973,2.18,0.7,5465.6177,4751.373,6196.6504,73968,79071,86411,5.417391,4.1838756,6.8942685,28.1639,51.54617,2.912,50.743,61.643,64.307,59.029,241,138.402
"alb",2869700,100,-0.17,1.5757539,12.96,8.544084,14131.11,11637.216,16629.902,50733,66154,73853,11.286455,11.684433,10.920695,95.387505,93.038414,NULL,NULL,76.463,79.173,74.087,15,14.517
"and",77355,165,0.12,6.0349445,NULL,8.949418,51166.625,NULL,NULL,NULL,NULL,48507,10.5551195,10.481139,10.627977,70.665855,72.4221,NULL,NULL,80.368,84.324,77.172,NULL,5.887
"are",10051436,120,1.02,15.193336,68.95,NULL,62573.594,28921.145,77317.68,46542,88003,34739,12.69403,12.52534,12.80508,81.997,85.59674,5.672,2191.814,78.71,80.937,77.216,3,3.085
"arg",45847428,16,0.91,3.4732916,15.81,10.263761,20925.268,15580.716,26376.426,5001,71603,80932,11.147269,11.353645,10.906023,70.9514,71.416794,NULL,NULL,75.39,78.647,72.182,39,39.065
"arm",2970929,100,0.16,1.9877883,5.95,5.7,13157.994,8736.264,18557.947,42663,63004,60248,11.3303,11.32152,11.34119,96.00138,97.05096,NULL,NULL,72.043,77.35,66.554,26,18.511
"atg",99162,223,0.82,4.395123,NULL,5.2708488,16792.365,NULL,NULL,NULL,NULL,101373,9.29374,NULL,NULL,NULL,NULL,NULL,NULL,78.497,80.941,75.775,42,33.11
"aus",25959987,3,1.13,15.36838,46.82,1.4751629,49238.434,37485.59,61160.79,61057,70547,58378,12.72682,12.81059,12.63971,94.58006,94.43007,NULL,NULL,84.526,85.84,83.172,6,8.096
"aut",9065484,108,0.41,6.732425,24.62,4.483969,53618.67,43413.887,64148.49,55514,66283,82878,12.25669,11.97801,12.55374,100,100,NULL,NULL,81.58,84.084,79.043,5,5.521
"aze",10272912,118,0.83,3.7202723,10.56,5.600037,14256.744,10536.016,18075.832,60366,67342,26447,10.54297,10.20912,10.90131,93.62274,97.5649,NULL,NULL,69.366,73.287,65.646,26,40.079
"bdi",12469663,440,3.07,0.050642584,1.71,1.7953,731.7867,667.52075,796.9565,78991,77379,66565,3.129267,2.491789,3.8518007,7.7999105,13.046886,NULL,NULL,61.663,63.609,59.711,548,53.621
"bel",11658404,381,0.37,7.226206,33.45,6.244722,52293.4,42532.934,62295.082,49842,58812,108395,12.37568,12.3194,12.43481,87.21032,89.70521,NULL,NULL,81.879,84.296,79.434,5,5.33
"ben",12644580,111,2.7,0.5528903,3.4,6.600001,3408.9658,2997.7056,3818.803,69334,72599,49937,4.3047867,3.3151975,5.445054,21.06532,34.435173,NULL,NULL,59.821,61.445,58.221,397,92.259
"bfa",21847968,79,2.84,0.18990327,2.96,6.9063416,2117.916,1659.2349,2579.9,57237,72725,52369,2.1149623,1.5833011,2.704234,11.288436,17.119722,NULL,NULL,59.27,60.99,57.474,320,110.509
"bgd",167247491,1127,0.98,0.56373763,2.88,6.938675,5472.105,2811.2434,8176.0503,34869,78782,35547,7.37906,6.75538,8.02081,50.61271,58.54696,NULL,NULL,72.381,74.267,70.599,173,75.496
"bgr",6866274,62,-0.75,5.388846,15.02,4.1778736,23078.955,18109.389,28356.814,49143,62636,23831,11.41318,11.50781,11.30866,94.88394,96.54079,NULL,NULL,71.798,75.482,68.435,10,38.605
"bhr",1775452,2285,2.75,20.54573,23.83,2.2253513,39497.246,16786.174,53359.496,42361,83531,128504,11.04659,10.78437,11.17326,79.90357,83.08016,NULL,NULL,78.76,80.018,77.757,14,8.676
"bhs",399068,28,0.93,5.9446554,37.8,13.719735,30486.184,25896.984,35495.426,65627,71486,103309,12.641924,12.741425,12.556537,86.99974,89.931656,NULL,NULL,71.598,75.096,68.121,70,25.686
"bih",3251612,64,-0.53,6.528248,14.44,7.1022387,15241.915,10709.285,19917.006,32257,52351,35433,10.53632,9.77819,11.35263,82.73859,94.02472,NULL,NULL,75.3,77.53,73.108,10,9.86
"blr",9438767,45,-0.07,6.0793138,5.59,2.5067422,18848.967,15158.323,23165.021,57311,71387,41181,12.14358,12.1546,12.12978,97.47854,99.02928,NULL,NULL,72.438,77.697,67.298,2,11.85
"blz",409224,18,1.83,1.4656664,12.21,9.753163,6309.0996,4248.5435,8344.773,46897,76752,8221,8.8476,9.04207,8.65289,54.48729,49.83902,NULL,NULL,70.47,74.332,67.119,36,57.127
"bol",11927124,11,1.37,1.7733198,11.32,6.105804,8111.1904,6855.905,9358.681,68283,83765,80476,9.82775,9.21673,10.49209,60.10497,69.68731,7.857,241.118,63.63,66.8,60.879,155,63.792
"bra",214832901,25,0.67,2.198837,18.87,4.6194215,14369.889,10903.075,17959.965,4911,6824,93013,8.128814,8.333614,7.894244,62.448757,59.095768,NULL,NULL,72.75,76.009,69.56,60,45.2
"brb",287927,669,0.12,3.7814703,NULL,1.4,12306.341,10235.214,14554.614,56055,63727,135398,9.8527,10.282483,9.088874,95.38591,86.00105,NULL,NULL,77.571,79.359,75.629,27,42.297
"brn",443903,77,0.93,23.220543,85.7,-1.6055452,64489.54,47578.758,80260.78,54069,72339,2514,9.18,9.162,9.198,70.44,71.2,NULL,NULL,74.642,76.881,72.602,31,9.978
"btn",784855,20,1.07,2.4953084,32.43,NULL,9437.542,6670.576,11896.33,51625,67397,132419,5.1702623,4.450652,5.7612047,23.56883,32.31014,NULL,NULL,71.815,73.773,70.141,183,18.977
"bwa",2423535,4,1.94,2.7720807,14.19,11.364137,16198.318,13839.157,18618.322,56282,65148,19528,10.34,10.274,10.398,91.28,91.78,NULL,NULL,61.141,63.594,58.691,144,49.324
"caf",4971922,8,1.87,0.038906638,1.57,0.90000004,966.0586,769.84283,1162.3173,63312,79486,47613,4.334,3.108,5.594,13.94,31.56,NULL,NULL,53.895,56.304,51.646,829,160.507
"can",38261228,4,0.86,14.196938,35.05,4.562894,46807.984,38651.81,55065.254,60801,69741,112854,13.834427,13.914979,13.747854,100,100,NULL,NULL,82.656,84.671,80.621,10,6.978
"che",8752564,211,0.7,3.7319133,31.14,3.6921527,66933.01,54596.875,79450.51,61728,72705,42074,13.85966,13.48301,14.24829,96.85867,97.53342,NULL,NULL,83.987,85.896,81.995,5,2.212
"chl",19275294,25,0.5,4.246215,13.5,11.668224,24563.244,17552.93,31677.277,44172,65547,36291,10.934966,10.841318,11.046242,80.28493,83.47512,NULL,NULL,78.944,81.437,76.472,13,24.082
"chn",1447065329,149,0.34,7.4117355,21.96,8.109793,17504.4,13979.689,20882.867,61612,7429,7148,7.6001186,7.334608,7.861852,78.281944,85.3544,NULL,NULL,78.211,81.155,75.463,29,11.048
"civ",27451054,84,2.56,0.3817801,3.26,7.021502,5217.4487,3763.003,6642.844,4592,64893,52136,5.199139,4.6767216,5.712839,23.879713,32.162376,NULL,NULL,58.598,59.941,57.4,617,104.968
"cmr",27624492,57,2.56,0.25952443,2.13,3.4865992,3620.9324,2981.386,4263.787,70154,80747,45536,6.15131,4.81709,7.50058,36.84197,54.958412,NULL,NULL,60.333,62.018,58.69,529,110.378
"cod",86790567,37,2.3,0.027660353,2.75,5.7122035,1076.0988,896.3529,1258.6572,61209,69065,16104,7.0186963,5.5962615,8.455106,40.275806,69.115746,4.468,80.808,59.193,61.521,56.953,473,108.962
"cog",5956000,17,2.6,0.5648334,1.88,-3.5,2889.2834,2532.153,3247.2642,65062,67605,103639,6.166,5.59,6.762,47.98,51.98,NULL,NULL,63.519,64.935,62.124,378,103.633
"col",51504213,45,0.75,1.751176,9.09,10.5632925,14384.356,10280.756,18598.732,52182,77998,64601,8.86286,9.01633,8.69707,58.85783,56.54455,NULL,NULL,72.83,76.442,69.404,83,59.034
"com",899658,477,2.17,0.29721677,NULL,2.3478036,3142.0642,2013.5804,4260.2104,32119,54534,25999,5.078649,3.9533114,6.031009,NULL,NULL,NULL,NULL,63.417,65.827,61.245,273,58.173
"cpv",565346,139,1.06,0.9891059,NULL,6.952449,6230.2,4681.792,7795.748,4691,61705,142298,6.2877192,6.025999,6.573896,28.775879,31.237026,6.02,176.024,74.052,78.457,69.589,58,55.228
"cri",5165346,101,0.88,1.5522609,14.43,7.5795655,19974.273,16567.934,23375.957,47527,71142,68192,8.80406,8.89239,8.70225,56.23606,54.53149,NULL,NULL,77.023,79.811,74.418,27,37.148
"cub",11312548,103,-0.08,1.7791986,9.19,NULL,7878.8477,5103.3486,10693.008,40285,68454,NULL,12.497734,12.593686,12.4017,89.50523,91.93527,NULL,NULL,73.683,76.358,71.245,36,48.82
"cyp",1220541,131,0.68,5.380504,36.58,5.5126853,38188.42,30616.521,45734.55,56648,68766,10356,12.44017,12.41041,12.47198,81.13751,84.81718,NULL,NULL,81.203,83.204,79.209,6,6.827
"cze",10732960,136,0.15,8.215039,21.3,3.342653,38745.215,30454.506,47288.81,51668,68064,42017,12.86931,12.71215,13.03566,99.83694,99.78072,9.24,2119.849,77.728,80.888,74.666,3,9.709
"deu",83975691,235,0.14,7.6901417,19.4,2.8926024,54534.22,46149.953,63142.7,56843,66041,69642,14.090967,13.840535,14.349437,96.07322,96.46214,NULL,NULL,80.63,83.222,78.081,7,7.465
"dji",1010377,43,1.44,0.35572875,15.86,4.3096614,5024.994,2178.9587,7911.3506,17218,44147,45953,4.1,NULL,NULL,NULL,NULL,NULL,NULL,62.305,65.019,59.728,248,22.722
"dma",72167,96,0.25,1.9344039,NULL,6.5357466,11487.624,NULL,NULL,NULL,NULL,102652,8.142186,NULL,NULL,NULL,NULL,NULL,NULL,72.814,76.301,69.725,NULL,38.49
"dnk",5825798,135,0.36,4.5224423,25.86,4.693433,60364.785,49876.266,70961.09,57721,66653,3663,12.96049,13.15695,12.76415,95.06726,95.2381,NULL,NULL,81.375,83.276,79.485,4,1.908
"dom",11015774,225,0.98,2.5598755,9.54,12.27199,17989.6,13695.312,22248.06,49577,75162,63064,9.306864,9.607207,8.988241,77.42735,76.94312,NULL,NULL,72.615,76.291,69.298,95,65.629
"dza",45061896,19,1.75,3.534591,11.21,3.8477936,10800.226,3549.9968,17787.312,15684,6448,62987,8.069284,7.73566,8.438412,46.043976,56.927605,NULL,NULL,76.377,77.959,74.879,112,11.714
"ecu",18033738,65,1.39,1.7531998,7.74,4.2352514,10311.633,7450.796,13180.218,53344,76519,62236,8.81712,8.80006,8.83627,53.01759,52.00579,NULL,NULL,73.67,77.462,70.26,59,63.163
"egy",105390688,104,1.88,2.0858743,8.22,3.3267422,11731.69,3536.0652,19740.684,15385,67088,89196,9.573026,9.802208,9.42036,81.57428,76.60529,NULL,NULL,70.221,72.608,67.935,37,44.767
"eri",3633796,31,1.55,0.20367858,3.47,NULL,1728.7427,1387.3176,2079.4653,70183,83622,17625,4.887235,NULL,NULL,NULL,NULL,NULL,NULL,66.536,68.655,64.35,480,64.356
"esp",46736811,92,-0.02,4.468313,13.48,5.129455,38353.6,31212.637,45784.08,52654,62412,11855,10.6054,10.52787,10.68845,78.53473,83.1628,NULL,NULL,83.01,85.774,80.209,4,6.281
"est",1324323,29,-0.1,7.8794756,37.53,8.349454,38048.266,30995.404,45866.207,57453,70169,17602,13.54843,13.78102,13.27297,97.55341,98.14327,NULL,NULL,77.144,81.231,72.815,9,8.764
"eth",119590501,107,2.53,0.12756039,0.47,5.637303,2361.0696,1943.5756,2774.393,72335,84683,5295,3.2015207,2.1618454,4.2384486,9.137026,20.108875,NULL,NULL,64.975,68.285,61.91,401,69.221
"fin",5553102,16,0.14,7.090703,36.73,3.4745471,49452.168,41697.5,57393.797,5646,64029,66186,12.87362,13.04684,12.69113,98.986244,98.45397,NULL,NULL,82.038,84.718,79.346,3,4.159
"fji",906570,49,0.72,1.5543619,NULL,-4.0814247,9980.111,5664.187,14270.368,37701,75257,82985,10.921548,11.001941,10.840565,90.215576,87.8915,NULL,NULL,67.114,68.877,65.426,34,26.843
"fra",65520147,119,0.23,4.238073,17.1,6.9635706,45937.05,38403.473,53987.676,51897,59675,112577,11.61006,11.43722,11.80277,83.53661,87.89122,NULL,NULL,82.499,85.485,79.425,8,9.529
"fsm",116901,166,1.07,1.2823522,NULL,-3.18821,3696.1738,NULL,NULL,NULL,NULL,15001,7.804956,NULL,NULL,NULL,NULL,NULL,NULL,70.71,74.608,67.12,88,35.835
"gab",2310507,9,2.39,1.9311383,9.15,1.5053594,13366.935,9375.8955,17211.895,39117,57012,65771,9.436,7.8436766,10.497617,67.20823,83.98536,NULL,NULL,65.821,68.494,63.488,252,91.176
"gbr",68401087,281,0.47,4.854887,17.85,7.441273,45224.766,37374.45,53264.938,58044,67091,95348,13.40612,13.45,13.36057,99.80037,99.80491,11.978,4926.631,80.742,82.772,78.717,7,10.541
"geo",3973946,57,-0.24,2.4987924,10.35,10.358943,14664.168,11284.665,18472.482,50995,6803,49495,12.82222,12.86532,12.7704,97.14544,98.28538,NULL,NULL,71.694,76.681,66.803,25,31.654
"gha",32120718,133,2.12,0.51495934,3.92,5.3564777,5744.504,4723.2886,6770.8306,64527,72234,82124,8.329886,7.7799945,8.969073,57.980278,73.21096,NULL,NULL,63.795,66.014,61.63,308,64.176
"gin",13709966,55,2.78,0.25843698,4.77,3.12323,2480.8872,2320.3816,2645.2366,62061,62188,42543,2.202126,1.2928435,3.2485638,7.151153,19.662771,NULL,NULL,58.892,60.098,57.595,576,114.829
"gmb",2528326,233,2.91,0.2068592,3.77,5.626499,2172.2078,1648.847,2701.0198,48917,66259,83777,4.6374874,3.8412097,5.635258,29.915367,43.194782,NULL,NULL,62.083,63.529,60.656,597,63.188
"gnb",2043512,56,2.41,0.14571638,NULL,3.8000023,1908.2416,1561.4238,2264.0225,63868,78373,78522,3.583719,2.410659,4.939155,9.798909,22.795382,NULL,NULL,59.652,61.796,57.392,667,87.537
"gnq",1477483,52,3.34,7.3167567,15.89,-0.9453919,12073.96,8351.083,15398.905,49926,58483,42805,5.910863,4.1945486,7.6271973,NULL,NULL,NULL,NULL,60.594,62.726,58.781,301,139.706
"grc",10340571,79,-0.5,5.0114965,15.17,8.3361025,29002.486,22889.793,35367.95,43297,58108,199402,11.40853,11.09686,11.74694,69.86016,77.78989,NULL,NULL,80.111,82.852,77.492,3,8.479
"grd",113237,329,0.44,2.6201754,NULL,5.316325,13483.577,NULL,NULL,NULL,NULL,70329,9.032104,NULL,NULL,NULL,NULL,NULL,NULL,74.936,77.898,72.212,25,32.72
"gtm",18446417,168,1.87,1.0570639,7.24,7.527629,8723.285,4909.0996,12613.844,37363,80268,30775,5.6813,5.23528,6.23799,29.4546,35.83336,NULL,NULL,69.237,72.651,66.005,95,64.054
"guy",792481,4,0.48,2.8131642,NULL,19.927229,22464.658,14734.62,30534.346,40304,64097,42898,8.617477,8.72292,8.489497,69.52816,62.232613,NULL,NULL,65.673,69.104,62.481,169,66.556
"hnd",10156097,89,1.6,0.97526336,6.06,12.534096,5297.955,4271.1777,6304.3467,4233,7894,50229,7.08848,6.75691,7.43138,35.84705,44.83575,NULL,NULL,70.123,72.534,67.894,65,71.972
"hrv",4067642,72,-0.58,4.136637,17.06,10.448873,30132.29,23887.994,36712.79,45925,58751,79793,12.191084,11.937454,12.480165,96.978584,100,NULL,NULL,77.58,81.055,74.233,8,8.637
"hti",11623799,416,1.22,0.2560397,2.4,-1.79824,2847.5007,2408.2004,3294.6897,60686,6893,24226,5.554,4.552,6.768,27.94,40.96,NULL,NULL,63.192,66.119,60.399,480,52.545
"hun",9618215,104,-0.27,4.997282,15.27,7.0966125,32789.01,25908.87,40262.25,52064,6721,76759,12.24959,12.09699,12.42362,97.61314,98.82953,NULL,NULL,74.53,77.921,71.105,12,22.148
"idn",278037263,145,1.04,2.1552083,6.77,3.69124,11466.068,7905.9175,14975.813,53704,81668,41155,8.55651,8.20693,8.91211,51.00518,58.2128,NULL,NULL,67.57,69.744,65.533,177,33.929
"ind",1401310563,424,0.97,1.7694091,5.23,8.947963,6589.98,2277.2656,10632.933,19233,70092,84162,6.6551094,6.2515388,7.228794,41.82268,53.834705,NULL,NULL,67.24,68.886,65.756,133,17.234
"irl",5008554,71,0.91,6.753776,49.25,13.478658,76168.984,61104.492,91505.92,56526,68573,55327,11.582223,11.784554,11.367472,88.12758,85.95681,NULL,NULL,81.998,83.768,80.248,5,5.941
"irn",85627052,52,1.23,8.87021,13.16,NULL,13000.712,3767.3994,22040.709,14354,68086,42404,10.636453,10.618327,10.655044,71.593155,75.97091,5.336,573.404,73.875,76.808,71.246,16,30.155
"irq",41750703,94,2.38,5.2415724,11.87,2.7833354,9977.249,2184.125,17748.484,11078,71763,59079,7.9055934,7.248048,8.426082,42.036053,52.86166,NULL,NULL,70.378,72.422,68.2,79,62.192
"isl",344646,3,0.62,8.60384,59.61,3.6997924,55782.05,47135.914,64004.13,61671,70463,74598,13.76717,13.86953,13.67178,99.76842,99.66255,NULL,NULL,82.678,84.18,81.214,4,5.395
"isr",8868656,423,1.55,6.510389,30.76,8.188041,41523.742,34959.7,48125.887,58518,66075,67951,13.344867,13.383252,13.303546,91.55365,93.706085,NULL,NULL,82.255,84.295,80.154,3,7.614
"ita",60320493,200,-0.16,5.024911,11.85,6.6437902,42839.516,31099.865,55186.54,3989,57592,150859,10.74011,10.60561,10.88707,78.62726,86.09231,NULL,NULL,82.85,85.096,80.519,2,3.993
"jam",2980575,271,0.42,2.508977,9.95,4.6,8834.476,6982.2515,10715.47,56095,70003,92347,9.154629,9.744775,8.530893,74.33102,66.38198,NULL,NULL,70.5,72.543,68.469,80,32.764
"jor",10322902,115,0.65,2.4979973,7.03,2.2097647,9923.715,3778.065,15631.279,13469,62322,91899,10.44668,10.07158,10.8373,77.3787,84.21157,NULL,NULL,74.256,76.773,72.128,46,25.369
"jpn",125802521,334,-0.34,8.149939,18.18,1.6207955,42274.293,30620.807,54596.844,533,71031,262492,13.3661,13.305565,13.425656,95.86,92.72,NULL,NULL,84.784,87.731,81.802,5,2.903
"kaz",19123199,7,1.16,15.515815,34.41,4,23942.818,18976.348,29305.127,6327,75518,251,12.347562,12.377705,12.31333,99.82169,99.980095,NULL,NULL,69.362,73.081,65.476,10,21.877
"ken",55703607,95,2.26,0.3002736,4.62,7.5173554,4473.5703,3873.1912,5084.1675,70984,75564,67834,6.652,6.064,7.26,31.077805,37.667236,NULL,NULL,61.427,64.09,58.935,342,64.185
"kgz",6689349,33,1.6,1.7638651,7.82,3.6106126,4566.3037,2863.1912,6331.4873,42141,7167,61116,11.374105,11.602647,11.1337805,100,99.80193,NULL,NULL,69.977,74.352,65.8,60,34.697
"khm",17080063,94,1.36,0.9166596,5.7,3.0263894,4078.6973,3463.5085,4706.238,7396,85918,36273,5.088,4.366,5.882,18.32,31.7,NULL,NULL,69.584,72.291,66.819,160,45.453
"kir",122470,150,1.63,0.56992525,NULL,NULL,4062.586,NULL,NULL,NULL,NULL,17562,7.984462,NULL,NULL,NULL,NULL,NULL,NULL,67.417,69.096,65.504,92,40.477
"kna",53544,205,0.65,3.9857893,NULL,-1.0245787,23358.332,NULL,NULL,NULL,NULL,63389,8.662745,NULL,NULL,NULL,NULL,NULL,NULL,71.682,75.341,68.346,NULL,38.154
"kor",51331264,512,0.07,11.656224,22.01,4.0211587,44500.934,29299.893,59737.336,53391,72448,51331,12.51293,11.8602,13.176253,83.08194,93.09086,8.364,2642.414,83.698,86.76,80.386,11,2.211
"kwt",4366698,243,1.36,20.825108,65.32,NULL,52919.76,28085.58,68826.82,47428,83804,8681,7.3280225,8.123162,6.936462,60.904198,55.153614,NULL,NULL,78.673,81.463,77.192,12,5.638
